operator,campus,state,lat,lon,announced_year,construction_start,first_operation,status,era,source,verified,legacy_first_year,note,announced_source,construction_source,operation_source,siting_rationale,ownership_model,capacity_mw,capacity_basis,capacity_asof,capacity_source
xAI,"Colossus 2 (5400 Tulane Rd, Memphis), TN",TN,35.01,-90.08,2025,2025,2025,operating,4,,yes,,Power: 7x35 MW ex-Duke gas turbines in Southaven MS + Megapacks + MLGW; MSDEQ permitted 41 turbines (DCD); SELC alleges unpermitted generation. Distinct from Colossus 1 row,datacentermap/WREG (site acquisition + second Memphis DC announced 2025-03-07),SemiAnalysis 2025-09-16 (built in ~6 months from Mar 2025 acquisition; racks installed Jul 2025),SemiAnalysis 2025-09-16 (~200 MW cooling operational),none stated found (adjacency to Colossus 1 / speed is analyst framing),owner_operated,1000,facility_load,2026,"Introl Jan 2026 (~1 GW, ~550k GPUs) -- THIRD-PARTY ESTIMATE, no utility record; SemiAnalysis: ~460 MW installed/UC Sep 2025, designed >1.1 GW by Q2 2027 (ultimate)"
xAI,"MACROHARDRR (Southaven), MS",MS,34.99,-90.07,2026,2026,,under construction,4,,partial,,"Retrofit; operations 'expected Feb 2026' (not confirmed -- blank). Distinct site from Colossus 2, 0.4 mi away across the state line",Office of Gov. Tate Reeves 2026-01-08 ($20B+ announcement),Baxtel / Gov. announcement (retrofit of 810k sqft warehouse underway Jan 2026),,Proximity to xAI's Southaven power plant and existing Tennessee data center -- Gov. Reeves announcement,owner_operated,2000,ultimate_buildout,2026,Gov. Reeves: 'nearly 2 GW of computing power upon completion' -- CONFLICT: Introl Jan 2026 estimates ~500 MW for this building; treat 2 GW as aspirational program figure
Google,"Kansas City (Northland), MO",MO,39.25,-94.55,2024,2024,,under construction,4,,partial,,Curation gap found by census. Phased operation ~2025-26 reported but no confirmed in-service year -- blank per rules,KSHB / Startland News Mar 2024 ($1B announcement; land banked 2019 as 'Project Shale'),Startland News / DCD (construction from 2024),,none stated found,owner_operated,,,,Not disclosed; $1B phase 1
Google,"Kansas City campus #2 (Northland, 500 ac), MO",MO,39.28,-94.55,2026,2026,,under construction,4,,partial,,Curation gap found by census,KCTV5 / DCD Feb 2026 ($10B),DCD ('Construction begins at Google's second data center campus in Kansas City'),,none stated found,owner_operated,,,,Not disclosed
Meta,"Kansas City (Golden Plains Technology Park), MO",MO,39.30,-94.60,2022,2022,2025,operating,4,,partial,,Curation gap found by census; operational ~2024-25 reported but no confirmed first-service year -- blank per rules,"KCUR / PRNewswire (Meta) 2022-03-24 ($800M, later expanded)",KCUR / DCD (construction from 2022),,none stated found,owner_operated,,,,Not disclosed
Meta,"Rosemount (UMore Park), MN",MN,44.71,-93.09,2023,2024,,under construction,4,,partial,,Curation gap found by census; 2026 opening target (MPR) not placed in field. Fills Minnesota,Rosemount council approval Dec 2023 ('Project Bigfoot'); Meta confirmed 2024-03-14 (MN Governor's office; Meta blog 'Hello Rosemount'),MPR / Meta (construction from 2024),,none stated found,owner_operated,75,contracted,2023,Minnesota PUC dockets 22-572 and 22-579 (Xcel-Meta service agreements); reported via Minnesota Star Tribune; service agreement contemplates 10-75 MW ramp over initial 10-yr contract
Google,"West Memphis, AR",AR,35.15,-90.18,2025,2025,,under construction,4,,partial,,[RESEARCHED: 600 MW solar + 350 MW battery = supply infrastructure] Curation gap found by census. Fills Arkansas,Arkansas Advocate / AEDC 2025-10-02 ($4B AI data center; groundbreaking same week),Arkansas Advocate (groundbreaking Oct 2025),,none stated found (Entergy Arkansas supply deal -- DCD),owner_operated,,,,Not disclosed
TeraWulf / Fluidstack,"Lake Mariner (Barker, Niagara County), NY",NY,43.34,-78.72,2025,2025,,under construction,4,,partial,,"TENANT: Anthropic via Fluidstack, Google-backstopped -- Anthropic newsroom 2025-11-12. First facilities 2026 (target). Fills New York",Fluidstack lease + Google backstop Aug 2025; Anthropic named 2025-11-12 (DCD/CNBC/Anthropic newsroom),DCD (BTC-site conversion + new builds underway),,none stated found (site is a converted coal-plant/bitcoin site with existing grid interconnection),wholesale_leased,360,contracted,2025,DCD/CNBC Nov 2025: 360 MW for Anthropic (part of $50B Anthropic-Fluidstack program); Google backstops Fluidstack obligations (~14% TeraWulf equity)
Google,"Buffalo (Putnam County), WV",WV,38.42,-81.90,2026,,,announced,4,,partial,,Curation gap (PROVISIONAL): scale undisclosed; inclusion rests on Google-owner announcement only. Fills West Virginia provisionally,WV Governor 2026-03-27 (Gov. Morrisey announcement),,,none stated found (details limited; Google to fund all utility upgrades -- West Virginia Watch),owner_operated,,,,MW and $ withheld at announcement -- verify campus scale before relying on this row
Digital Realty (incl. ex-DuPont Fabros),"Digital Ashburn (legacy campus), VA",VA,39.0,-77.46,,,2007,operating,1,,no,,"Split 2026-08-15 from combined 'Ashburn campus cluster' row. Ten-building legacy campus; Digital Realty has been building here since 2007 per general historical reporting, not a single dated opening event -- treat first_operation as approximate, era assigned by documented judgment on this basis, matching how this project has treated other no-exact-date legacy NoVA sites.",,,"Data Center Frontier, general historical reference to Digital Realty building on the Ashburn campus since 2007; no single-event primary source located for a first opening date.",Sits 'atop the world's densest intersection of fiber networks' -- DCF 2019,wholesale_leased,,,,MW unpublished for this sub-campus specifically; DCF 2019 excludes it from the ACC figure explicitly.
Digital Realty (incl. ex-DuPont Fabros),"ACC / ex-DuPont Fabros campus, Ashburn, VA",VA,39.0,-77.46,,,2015,operating,2,,no,,"Split 2026-08-15 from combined 'Ashburn campus cluster' row. ACC7 (final phase of 7) in service 2015 per DCK 2020 reporting; used as first_operation for the sub-campus. CORRECTION 2026-08-15: the fiber-density quote originally copied to this row on the split describes the general NoVA/Ashburn region (DCF 2019), not an operator statement specific to this sub-campus's own expansion decision. ACC's 2015 expansion traces to Digital Realty's acquisition of DuPont Fabros for NoVA/Chicago market position, not a fresh siting rationale. Rationale field reverted to 'none stated found'; only the original Digital Ashburn legacy row keeps the regional quote.",,,"Data Center Knowledge, 2020 reporting on Microsoft 40 MW lease referencing ACC7 in-service 2015.",none stated found,wholesale_leased,190,it_load,2017,"DCF 2019: ACC (ex-DuPont Fabros) campus = 7 DCs, 190 MW IT."
Digital Realty,"Digital Loudoun III, Ashburn, VA",VA,39.0,-77.46,,,2019,operating,3,,no,,"Split 2026-08-15 from combined 'Ashburn campus cluster' row. Eight-building planned buildout; Building L completed 2019 (used as first_operation), Building P 2020, Building M-2 2023, per general trade reporting -- construction is ongoing across era 3 into era 4, this row reflects only the earliest documented phase. 324 MW is a planned full-build figure, not current IT load; do not treat as delivered capacity. CORRECTION 2026-08-15: the fiber-density quote originally copied to this row on the split describes the general NoVA/Ashburn region (DCF 2019), not an operator statement specific to this sub-campus's own expansion decision. ACC's 2015 expansion traces to Digital Realty's acquisition of DuPont Fabros for NoVA/Chicago market position, not a fresh siting rationale. Rationale field reverted to 'none stated found'; only the original Digital Ashburn legacy row keeps the regional quote.",,,"Trade reporting on Digital Loudoun III phase completions (Building L 2019, Building P 2020, Building M-2 2023); no single primary Digital Realty announcement located for Building L specifically.",none stated found,wholesale_leased,324,planned_full_build,2019,"DCF 2019: Digital Loudoun III planned at 324 MW IT across eight buildings; figure is the announced full build-out target, not current delivered capacity."
